r1,r2,w,g
2.7609468,2.7109118,2.4938204,1.8286878
2.232918,2.7912564,2.3711367,1.8028258
2.4724061,2.2160566,2.7987456,2.9893973
2.7978375,2.2963748,2.7494612,2.944741
2.2599587,2.7996907,2.2122774,1.8000789
2.2000008,2.8,2.2000139,1.8
2.2001169,2.79416,2.225789,1.8023828
2.4204495,2.7999732,2.2007837,1.8000039
2.7142537,2.2081373,2.792865,2.9997616
2.2000985,2.7995808,2.221212,1.8000039
2.212609,2.7986686,2.2115846,1.8001112
2.757721,2.2001503,2.7999225,2.9999232
2.679756,2.732575,2.7176485,2.0158458
2.2008202,2.7997875,2.2365723,1.8000171
2.4612205,2.2209694,2.7979565,2.9943283
2.2555552,2.2536554,2.7377312,2.7869062
2.2718406,2.6756418,2.5117738,2.1240535
2.716527,2.4674096,2.6937413,2.5657268
2.299743,2.7565615,2.5871964,1.8336201
2.7932858,2.7720656,2.238094,1.818514
2.213167,2.7949893,2.2772937,1.8015528
2.2205124,2.776801,2.3610194,1.8643737
2.5833147,2.793068,2.2297835,1.8009851
2.2005944,2.73319,2.6438222,1.8243011
2.7805233,2.2057967,2.7934554,2.9912286
2.339406,2.2042608,2.7992735,2.9947789
2.2594073,2.7960572,2.3466206,1.8018534
2.2111971,2.7852283,2.328986,1.8001055
2.753762,2.7021298,2.2804096,1.93302
2.744674,2.4139328,2.52362,2.7536888
2.247694,2.729084,2.514972,1.849677
2.2451758,2.393279,2.4424539,2.1004355
2.2061472,2.7541733,2.2555814,1.8191459
2.200689,2.7720037,2.2646563,1.8007941
2.756481,2.7999034,2.2982843,1.8007412
2.200072,2.799656,2.208932,1.8000084
2.2041976,2.3756592,2.7781937,2.288734
2.2390785,2.3685896,2.3038945,2.0179
2.7320585,2.796321,2.4148233,1.819078
2.7102168,2.7172546,2.6233816,2.3473437
2.2689984,2.3891063,2.701594,2.9302735
2.2005417,2.797276,2.2209089,1.8015316
2.590787,2.3386736,2.789314,2.858191
2.207546,2.7978683,2.348229,1.8005137
2.793341,2.3737,2.638923,2.9417481
2.3329778,2.7428029,2.7482338,2.1834066
2.6603749,2.2415454,2.7931213,2.9947686
2.2002077,2.7999802,2.2029438,1.8000003
2.5066414,2.7786329,2.316839,1.8773509
2.3510253,2.7984722,2.252118,1.8040445
2.2019694,2.7999978,2.2063754,1.8
2.2119815,2.7882345,2.2721896,1.8023549
2.2787735,2.2059846,2.799724,2.9911475
2.2052686,2.799997,2.20416,1.8
2.7842948,2.7979958,2.2185762,1.8050878
2.370584,2.206519,2.79369,2.9526553
2.2086365,2.7978818,2.2688026,1.8000814
2.5951095,2.7849357,2.2328975,1.8054686
2.5922432,2.6220577,2.6552515,2.0326922
2.2418828,2.746784,2.7897053,2.6554897
2.2355485,2.7961435,2.2005498,1.8029708
2.2242408,2.7998629,2.2019377,1.8001443
2.2010236,2.7986422,2.230358,1.8000321
2.4930212,2.7991157,2.2041254,1.8001071
2.4976945,2.3907623,2.6808932,2.2576292
2.7999458,2.200889,2.7999992,2.9999976
2.733675,2.200581,2.7999976,2.9999616
2.7758102,2.2000291,2.7999997,3.0
2.200008,2.7999992,2.200234,1.8
2.6748686,2.208112,2.7997217,2.998211
2.243667,2.712268,2.663855,2.1058233
2.5832696,2.5097897,2.7707796,2.4394815
2.7970288,2.4225273,2.6660073,2.5085964
2.7287362,2.6543252,2.62304,2.1899002
2.7882125,2.2004416,2.7999945,2.999947
2.459885,2.2019567,2.7999697,2.999881
2.6602108,2.2006872,2.7998996,2.9986942
2.2009463,2.666439,2.4060755,1.8088518
2.741256,2.7936704,2.5786133,2.0437176
2.2054536,2.7999969,2.2001877,1.8
2.6569507,2.2052882,2.7991529,2.996655
2.3189716,2.6735227,2.6301186,1.8843869
2.3411548,2.2820008,2.7994711,2.9864693
2.204215,2.7966113,2.2218137,1.8015877
2.3259645,2.7861853,2.2149692,1.800507
2.2175214,2.696064,2.5043075,1.9548886
2.208304,2.7979436,2.4394374,1.8003542
2.623773,2.4641693,2.7162836,2.262336
2.4866784,2.7167113,2.302667,1.8297274
2.2015202,2.799793,2.2019045,1.8000083
2.7359474,2.578624,2.3856752,2.668174
2.4514647,2.5720434,2.36972,2.1075113
2.2006688,2.7999914,2.2004879,1.8000007
2.7943926,2.2000167,2.7999997,3.0
2.5931866,2.436198,2.7353005,2.4458153
2.6888793,2.331141,2.676737,2.6773078
2.22147,2.799879,2.2006807,1.8000077
2.2516782,2.7813234,2.2893593,1.8026171
2.6971235,2.2002718,2.7996473,2.999953
2.3688836,2.205143,2.7379205,2.975561
2.242159,2.7957234,2.473431,1.800662
2.2015264,2.799995,2.2042239,1.8000003
2.4542422,2.7712097,2.349838,1.9111357
2.697006,2.7968931,2.3863022,1.8010709
2.5754952,2.7520032,2.6444082,1.8881876
2.7761765,2.2159877,2.7891228,2.9973247
2.20083,2.3325129,2.7717047,2.0270286
2.5968707,2.2731414,2.5522876,2.5795195
2.3775003,2.7984278,2.475722,1.801936
2.2029858,2.796124,2.2244556,1.8001728
2.7635832,2.7969935,2.2166407,2.0095365
2.645537,2.2213283,2.5420752,2.8064303
2.7267492,2.2033937,2.7998571,2.9999526
2.3005412,2.7999346,2.2117062,1.8000066
2.2000883,2.7995582,2.2509782,1.8000299
2.2001328,2.7539868,2.5158002,1.8193998
2.7745109,2.7125247,2.750286,2.0023453
2.2002409,2.7999988,2.2000563,1.8
2.201245,2.7992568,2.2036352,1.8000584
2.211013,2.7966387,2.2208986,1.8001537
2.4802592,2.745615,2.3787465,1.8450773
2.2082882,2.7990007,2.2334921,1.8000576
2.259678,2.742004,2.7352333,1.8780818
2.3464267,2.7990913,2.2594368,1.8003511
2.765326,2.796932,2.2763197,1.8094068
2.7905712,2.428944,2.7879524,2.5866039
2.203167,2.7974842,2.2235818,1.8000429
2.201443,2.7998714,2.2168052,1.800005
2.7913642,2.2016478,2.7998345,2.9996228
2.5602245,2.2008486,2.7996836,2.9995542
2.2208035,2.7999663,2.2012048,1.8000467
2.6786313,2.7945988,2.2399955,1.8027995
2.5566869,2.5892642,2.7622716,2.2489288
2.6659837,2.2370384,2.7964458,2.9910488
2.503883,2.7644289,2.2534966,1.8461261
2.7686837,2.2138028,2.7967472,2.94694
2.3656218,2.2965875,2.796972,2.9103694
2.6302927,2.200012,2.799966,2.9999926
2.3885834,2.330679,2.3414366,2.0048532
2.7270803,2.2003665,2.799903,2.9999166
2.628521,2.2107923,2.7984042,2.9946156
2.4428253,2.7994971,2.2156174,1.8006663
2.2001026,2.7991316,2.205299,1.8000417
2.2224224,2.7360916,2.424036,1.8386871
2.7771952,2.345304,2.7966402,2.866899
2.7574067,2.648707,2.7858655,2.0563567
2.7897558,2.213422,2.7806408,2.9930325
2.4550848,2.2485576,2.787929,2.9669034
2.701891,2.7960458,2.211926,1.8071364
2.7802095,2.218334,2.636897,2.9924865
2.7548428,2.2047534,2.5823452,2.9921327
2.3863726,2.2266593,2.7943664,2.7911572
2.7946863,2.2006404,2.7999582,2.9999113
2.7864692,2.797631,2.2071366,1.8007656
2.3606012,2.3790069,2.7810364,2.4105492
2.2108622,2.577527,2.7677288,1.936293
2.3670318,2.2295947,2.7952921,2.9747784
2.5472348,2.264106,2.7734728,2.9781704
2.2928026,2.7785993,2.2162633,1.806999
2.432929,2.7998226,2.214061,1.8000474
2.237724,2.7346096,2.7775009,1.8286326
2.7641854,2.2041268,2.799063,2.999725
2.2000368,2.7998362,2.2342799,1.8000013
2.2043738,2.7990632,2.2399712,1.8001578
2.6857235,2.5910454,2.5820446,2.1916366
2.5970147,2.2023528,2.795983,2.999222
2.6880038,2.3663468,2.7402554,2.836962
2.403422,2.3686142,2.7876468,2.935954
2.744672,2.591091,2.5489163,2.2755418
2.7200084,2.2115252,2.7982721,2.9947598
2.7094097,2.2949584,2.7989125,2.9688635
2.7973013,2.2000186,2.7999957,2.9999976
2.7768779,2.369395,2.7059085,2.252087
2.279338,2.7983055,2.25121,1.8063126
2.572632,2.3306065,2.7969775,2.976039
2.2107706,2.7051673,2.566606,1.8713534
2.2126062,2.7996955,2.286723,1.8000824
2.3566146,2.207195,2.7960982,2.9943566
2.2926805,2.7962096,2.4588456,1.8114933
2.795418,2.2017672,2.7992253,2.9985578
2.6757085,2.7866704,2.2502327,1.8039396
2.202265,2.7971888,2.2076995,1.8000739
2.4555974,2.7999246,2.2128875,1.8000977
2.200208,2.79949,2.2032375,1.8000776
2.7978272,2.2168696,2.7974112,2.9976487
2.2719567,2.7956288,2.2015133,1.8114866
2.248317,2.7801666,2.5866385,1.8125358
2.3607268,2.2459364,2.6979713,2.290606
2.2733235,2.795378,2.2464075,1.8071281
2.2096748,2.7999482,2.2213402,1.800003
2.2069552,2.216355,2.7986155,2.9992294
2.2000217,2.7998939,2.2087593,1.8000028
2.204872,2.7966557,2.53586,1.8008795
2.2024236,2.6985826,2.7118604,1.8447746
2.4098623,2.203732,2.7998104,2.998316
2.2000406,2.799452,2.2212772,1.8000317
2.7835622,2.2029693,2.7990015,2.9988675
2.688694,2.3780432,2.7678025,2.8428452
2.209675,2.3304658,2.7914991,2.0472727
2.7982302,2.4047952,2.5272,2.7208333
2.3609474,2.4260888,2.7450604,2.1893437
2.7978077,2.2000685,2.7999585,2.9999976
2.676425,2.201888,2.7999487,2.9998612
2.4827166,2.255116,2.7304077,2.9135067
2.2000353,2.8,2.2002864,1.8
2.2219722,2.710783,2.6691804,1.8393131
2.2001522,2.799997,2.2030685,1.8
2.7563004,2.200218,2.7999954,2.9999847
2.203954,2.7996917,2.2302065,1.8001063
2.5122848,2.7677093,2.453254,1.8452495
2.7988255,2.5950222,2.55416,2.8778658
2.721395,2.3055675,2.7762094,2.9316146
2.3979313,2.305302,2.7978055,2.8855922
2.2164607,2.7966287,2.2218134,1.8018485
2.3565483,2.245705,2.7968192,2.987669
2.3683295,2.678494,2.7730346,2.5563257
2.7804446,2.7997096,2.3405304,1.8008711
2.289188,2.6439118,2.791624,2.4891076
2.2165773,2.4139457,2.662072,2.0074492
2.3140607,2.799386,2.2070608,1.8002195
2.2000382,2.799006,2.2671037,1.8000383
2.216041,2.7991757,2.2212615,1.8001937
2.7462769,2.7271333,2.7114284,1.9765465
2.686815,2.2161639,2.797567,2.9993443
2.7928808,2.2075727,2.7780359,2.9993765
2.5554144,2.6335957,2.379808,1.8621984
2.2373416,2.7999742,2.2001028,1.8000026
2.3592584,2.2819595,2.7848496,2.8479836
2.7996163,2.278597,2.7675674,2.9988642
2.2055595,2.7995825,2.260781,1.8001865
2.2186615,2.7998848,2.2033312,1.8000163
2.2209637,2.7850795,2.6870747,1.8037934
2.3226247,2.7852004,2.234761,1.8179933
2.4164953,2.4838257,2.72615,2.0744812
2.733165,2.2080252,2.7954178,2.993546
2.767721,2.2010229,2.7998314,2.9999182
2.7979503,2.7866745,2.3752644,1.8508517
2.6333327,2.2349641,2.7891,2.9958355
2.696254,2.5068152,2.5973806,2.4909356
2.3194165,2.2284977,2.7991843,2.9972277
2.5416613,2.2029746,2.7998574,2.9999018
2.3444731,2.4835286,2.4684465,2.0130675
2.4751515,2.7928414,2.6428804,1.8091383
2.339829,2.551047,2.5084574,2.6908245
2.5663385,2.7289255,2.4636753,1.8507786
2.727481,2.4047785,2.5448968,2.6966805
2.6745582,2.346817,2.7898505,2.5835965
2.6635177,2.2156763,2.7997222,2.9980586
2.541165,2.4837317,2.537022,1.8840415
2.2424262,2.209313,2.7909045,2.9519858
2.4657383,2.6931877,2.2096586,2.372613
2.2879727,2.7831168,2.659342,1.8157151
2.7215722,2.2890127,2.776536,2.9788685
2.7701879,2.5385644,2.7494965,2.4037554
2.6244168,2.3014731,2.7853892,2.5441892
2.5128853,2.7937436,2.2122111,1.8207698
2.6488905,2.2156072,2.7995243,2.998236
2.7955356,2.4211252,2.7344067,2.925725
2.2062695,2.7995358,2.3239353,1.8000878
2.204304,2.4658532,2.6998148,2.5727832
2.4769912,2.5789824,2.4759417,1.8972429
2.7846265,2.2006066,2.7999403,2.9999146
2.2004476,2.776009,2.615233,1.8028998
2.5363293,2.205706,2.7983334,2.996111
2.274232,2.7981796,2.3846786,1.8007998
2.6821308,2.200391,2.7994828,2.9998584
2.7831542,2.2033901,2.7994053,2.9995966
2.7305346,2.3630986,2.7921472,2.717461
2.220945,2.3204114,2.6724172,2.3269606
2.2006693,2.7998738,2.2004652,1.80002
2.2002702,2.799999,2.2001855,1.8
2.7743556,2.2000184,2.7999988,2.9999995
2.2143857,2.7991788,2.2033954,1.8000412
2.7943406,2.2009387,2.7983212,2.9999347
2.5172465,2.526236,2.7591658,2.5299697
2.3883445,2.4355128,2.7673335,1.8969114
2.4731984,2.2408617,2.7994099,2.99673
2.2092874,2.7988183,2.2243671,1.8000379
2.2059734,2.7985816,2.2985697,1.8000335
2.7691789,2.4048252,2.758151,2.931443
2.6715121,2.262172,2.7840502,2.9747195
2.5978773,2.7962017,2.279834,1.8088475
2.7622476,2.2084062,2.7998714,2.9992971
2.2431245,2.5761619,2.7031722,2.7103012
2.3484676,2.7696671,2.4577575,1.8350166
2.7859151,2.411237,2.7538767,2.6618648
2.4092457,2.3638153,2.7432184,1.918756
2.5523612,2.540023,2.7698808,2.308015
2.6808946,2.2015414,2.798598,2.9973624
2.2005768,2.7937176,2.364128,1.8016242
2.750214,2.7998931,2.2133944,1.8000841
2.7297955,2.204717,2.7991443,2.9992838
2.7467322,2.251675,2.6646569,2.9945755
2.7957954,2.3338785,2.7603948,2.9225783
2.2614608,2.7982376,2.2200108,1.8005698
2.6129055,2.4026098,2.7476034,2.4834511
2.2410638,2.7911265,2.2538245,1.8045646
2.2008944,2.7999978,2.2003164,1.8
2.2001173,2.799985,2.2074342,1.8000002
2.204482,2.7916465,2.224948,1.8045493
2.379406,2.2580569,2.7497904,2.8825366
2.2436547,2.797972,2.3074126,1.8011327
2.206544,2.7930927,2.5112967,1.8002392
2.329583,2.799803,2.210045,1.8000112
2.4684916,2.4049046,2.7129781,2.8930922
2.7909775,2.7682981,2.5813699,2.4645467
2.2000403,2.7999449,2.2047162,1.8000002
2.773626,2.2039392,2.799425,2.9986885
2.5346198,2.3325617,2.6627,2.6516743
2.7966647,2.20719,2.7997622,2.9992077
2.5958574,2.212656,2.7965057,2.989869
2.6144047,2.7780645,2.6999383,1.9929173
2.598288,2.2027462,2.7995281,2.9998984
2.2803538,2.360333,2.6515758,2.2479784
2.7890053,2.2099688,2.7790446,2.9988418
2.2004344,2.796862,2.597042,1.8001412
2.4136672,2.7996335,2.201191,1.800434
2.7917457,2.7157834,2.759645,2.458366
2.5825708,2.224958,2.7918339,2.9812112
2.4482112,2.206007,2.796777,2.9942095
2.4057424,2.463623,2.5854268,2.1210682
2.521974,2.792789,2.2006593,1.8269403
2.7994905,2.2004282,2.799571,2.9996085
2.7983346,2.243568,2.7763128,2.9967325
2.474858,2.3301208,2.7997022,2.914139
2.45855,2.2346196,2.7935386,2.8433888
2.2571888,2.2848818,2.788332,2.9067822
2.6526074,2.6926305,2.5817997,2.740289
2.2483368,2.3251297,2.7835252,2.8627315
2.7315986,2.414696,2.7105675,2.9742868
2.296422,2.79772,2.4531846,1.8006419
2.2001154,2.794632,2.3007476,1.8000135
2.5311887,2.4178052,2.5946648,2.3631694
2.58854,2.20492,2.7999773,2.9978542
2.520095,2.5385041,2.7469623,2.5757957
2.2019188,2.7999988,2.2002544,1.8
2.728862,2.3793151,2.5443163,2.445643
2.20021,2.7999558,2.2003887,1.8000002
2.661261,2.762223,2.2433074,2.366863
2.4040194,2.6033754,2.380151,1.8479999
2.7539425,2.7972806,2.200367,1.8003525
2.301349,2.791729,2.27634,1.8126476
2.228735,2.2264512,2.7111752,2.8546557
2.2569563,2.4624941,2.741794,2.1516726
2.2642255,2.224585,2.799432,2.9966214
2.7832987,2.211481,2.7986088,2.9975605
2.2283287,2.7566268,2.2195399,1.8081443
2.2890172,2.7928162,2.3924217,1.8693149
2.7702928,2.472313,2.7862175,2.9794018
2.3238099,2.726471,2.7775257,2.3772285
2.25197,2.6899328,2.48323,1.8609315
2.7914016,2.2156143,2.7801006,2.9895446
2.5172622,2.7231262,2.322258,2.0143778
2.2246628,2.7843475,2.3238904,1.8060814
2.571453,2.3623679,2.7486606,2.7488828
2.3020413,2.7965581,2.272905,1.8130637
2.6235542,2.7857454,2.341834,1.8263363
2.5387814,2.741784,2.2777224,1.8513982
2.5824437,2.6276774,2.3964028,1.9566371
2.5987296,2.2000084,2.799997,2.9999976
2.200579,2.7999945,2.2153425,1.8
2.708161,2.750904,2.2712286,2.0668592
2.7373533,2.3082435,2.447984,2.8300848
2.4305289,2.789058,2.30597,1.801436
2.201248,2.799976,2.2007902,1.8000035
2.7258434,2.2035694,2.7959208,2.9976294
2.7794166,2.2967317,2.5644019,2.966381
2.322678,2.258089,2.743094,2.9224045
2.4020958,2.4059286,2.6091602,2.329572
2.798211,2.2262795,2.784861,2.9964237
2.7930248,2.2014995,2.799728,2.999937
2.200046,2.798258,2.2214031,1.8024626
2.792237,2.2262516,2.2616491,2.9525704
2.4722745,2.266425,2.7608118,2.9407983
2.3752596,2.2738912,2.7924268,2.8829265
2.5580566,2.772346,2.6141195,1.8389809
2.6831343,2.2284346,2.7972922,2.994412
2.2002852,2.7997239,2.2038991,1.8000169
2.234732,2.7999663,2.2041204,1.8000026
2.7539835,2.2001185,2.7999582,2.9999967
2.7903118,2.2164328,2.7945132,2.9871044
2.5182467,2.2000604,2.7999482,2.999993
2.5601563,2.7793489,2.3348968,1.8267958
2.6716614,2.2081256,2.7973082,2.9990964
2.2001898,2.7995749,2.2097132,1.8000021
2.2468233,2.4916275,2.7960157,2.3769097
2.2006907,2.7993689,2.2237184,1.8000883
2.759184,2.3017845,2.7769258,2.8406456
2.7460544,2.2713182,2.7096403,2.8157792
2.7537086,2.2023444,2.7995667,2.998634
2.2019432,2.7995064,2.2041688,1.8001212
2.3830414,2.7132192,2.5227273,1.9321706
2.7804856,2.7999973,2.2019608,1.800036
2.792646,2.2080991,2.7989664,2.9923306
2.7914796,2.2046132,2.798623,2.9991062
2.5184739,2.2004647,2.7999916,2.9999948
2.6648803,2.79923,2.44686,1.9270169
2.4579072,2.2204332,2.7981992,2.9371781
2.6865263,2.638005,2.5412095,1.8351582
2.7801402,2.2003624,2.7998726,2.9999309
2.206542,2.5941463,2.315923,1.8640753
2.7746499,2.6272492,2.5663092,1.9784154
2.7978776,2.246063,2.788322,2.9971578
2.6080394,2.2177138,2.7907338,2.9983745
2.2207575,2.799889,2.2001386,1.8000038
2.608469,2.3000662,2.795009,2.9728873
2.4282017,2.2215853,2.7981818,2.954566
2.726262,2.2102623,2.7587986,2.9773612
2.2046285,2.7999928,2.2011063,1.800001
2.2725577,2.506114,2.7197258,2.3189096
2.4744706,2.7897096,2.223259,1.832755
2.6946554,2.2002213,2.7999468,2.9998868
2.692277,2.747418,2.3056743,1.8405256
2.6790333,2.2082624,2.7992747,2.9991407
2.799411,2.2000184,2.799984,2.9999998
2.200022,2.799996,2.2086344,1.8
2.7791934,2.2686958,2.7629285,2.9436061
2.7751994,2.338387,2.4036622,2.5698693
2.2391734,2.221959,2.796472,2.8466368
2.2398942,2.278466,2.7938616,2.7782607
2.7574725,2.7648063,2.2995849,1.9465951
2.2956831,2.7992232,2.2087383,1.8005857
2.227394,2.4661117,2.5088887,1.8773682
2.2041087,2.7963772,2.263232,1.8007213
2.2910542,2.2997017,2.7908292,2.9445436
2.7314644,2.4664066,2.7523627,2.6232607
2.2063475,2.7999763,2.2091784,1.8000069
2.3943665,2.7998831,2.2241418,1.8004973
2.2000463,2.7999997,2.2003303,1.8
2.424321,2.2029335,2.7995825,2.9998302
2.556039,2.2296479,2.7691708,2.9874573
2.2226956,2.7843313,2.5096998,1.8083189
2.6350749,2.2212238,2.796927,2.993069
2.6812606,2.2000208,2.8,2.9999995
2.5749853,2.2036538,2.799834,2.9993434
2.2099853,2.799784,2.3215277,1.8000529
2.6904075,2.2458918,2.7894244,2.9956288
2.2013056,2.7992973,2.5244553,1.8004394
2.476899,2.2229528,2.7985845,2.8153682
2.7867827,2.2003884,2.799906,2.9999852
2.7823057,2.3663461,2.646179,2.9719481
2.7987895,2.3811927,2.748834,2.9850707
2.2002528,2.7993405,2.2179308,1.8000091
2.2411222,2.3933954,2.7816122,2.5160692
2.6318316,2.7719138,2.2754326,1.8592706
2.2129211,2.3373413,2.7981472,2.8332253
2.2376456,2.779095,2.3111856,1.8053076
2.7836576,2.2025323,2.798754,2.9997623
2.3418434,2.7512355,2.4211888,1.946311
2.7111752,2.4496467,2.257344,2.5902195
2.7837577,2.237349,2.7989936,2.9921582
2.2045915,2.393685,2.697046,2.3243535
2.6710877,2.2746446,2.7692156,2.2488017
2.2205062,2.225416,2.7913551,2.9577909
2.4221268,2.2472901,2.645053,2.9190114
2.7696104,2.2011275,2.7914975,2.9989967
2.2315917,2.2338762,2.7702403,2.8663318
2.345936,2.216984,2.7670698,2.6780715
2.2234383,2.703697,2.3715873,1.8568146
2.3996973,2.7888947,2.2652094,1.8030704
2.2003207,2.7993698,2.2873204,1.8000528
2.775317,2.257354,2.6423135,2.6573625
2.5322075,2.4072232,2.2529302,2.473004
2.2086077,2.7999992,2.2001872,1.8
2.3068542,2.7973254,2.2296169,1.8014525
2.294692,2.2988896,2.779318,2.63204
2.4741542,2.5310845,2.7371354,2.1003017
2.7991009,2.2458465,2.7927208,2.9763222
2.2009544,2.740475,2.4280477,1.8311813
2.4025881,2.7933888,2.3197372,1.8013817
2.6508892,2.211474,2.7981565,2.9909124
2.7993834,2.2133098,2.6795816,2.9839096
2.7964199,2.2000268,2.799997,2.9999998
2.2004766,2.7999403,2.2023509,1.8000091
2.798296,2.200966,2.799994,2.999999
2.2011757,2.792513,2.4463892,1.8013852
2.2654948,2.7275102,2.3219185,1.826872
2.2245104,2.799996,2.2001255,1.8000017
2.2378585,2.7998712,2.3387237,1.800452
2.6889055,2.2633576,2.728473,2.9613237
2.7876306,2.2000477,2.799745,2.999992
2.641046,2.7154129,2.464673,2.0329204
2.2000225,2.7999976,2.2042544,1.8
2.2453625,2.7175698,2.7152355,1.8322487
2.7837536,2.200699,2.7998946,2.9999802
2.2473917,2.5600302,2.343545,2.1089544
2.2010849,2.799972,2.2033587,1.8000034
2.2022388,2.7998416,2.204281,1.8001304
2.2343657,2.7992039,2.2255392,1.8002057
2.2118285,2.667496,2.7273822,2.4506555
2.205064,2.7999988,2.203927,1.8000002
2.24742,2.799676,2.3069584,1.8000116
2.2000957,2.799987,2.2016997,1.8000003
2.21031,2.799615,2.2500973,1.8000095
2.767103,2.5051227,2.7202222,2.6297574
2.208174,2.7997804,2.2050328,1.800052
2.4296765,2.2149773,2.7908711,2.979182
2.2134228,2.717707,2.7125502,1.8034518
2.3953996,2.2752566,2.3487935,2.9085846
2.2120903,2.7998729,2.2010791,1.8000052
2.208472,2.7545426,2.2286112,1.8057777
2.2222736,2.7953362,2.206233,1.8060287
2.797208,2.206376,2.799545,2.999579
2.2720077,2.7024467,2.5148008,1.9331527
2.2215014,2.799519,2.3236861,1.8012044
2.306697,2.32543,2.59893,2.0904713
2.2437382,2.6314504,2.7328806,2.482334
2.2008882,2.788763,2.3315318,1.8008487
2.7484298,2.6379993,2.728496,2.195432
2.202542,2.7968771,2.2038543,1.8004425
2.5771046,2.7404342,2.3836439,1.9978172
2.5834897,2.2033193,2.7939274,2.998857
2.3798022,2.2897863,2.703251,2.8935487
2.2001479,2.7999542,2.2622886,1.8000002
2.724715,2.7845623,2.2384918,1.8329872
2.7071555,2.3657107,2.776076,2.4512312
2.3366861,2.2071316,2.7951167,2.9913743
2.2063508,2.799976,2.2914371,1.8000005
2.204591,2.70964,2.539626,1.8038598
2.2287042,2.7996836,2.369335,1.8001654
2.794475,2.2006967,2.7999153,2.9999256
2.2610435,2.7602403,2.3197315,1.8034561
2.59161,2.7960575,2.221782,1.8009973
2.4011803,2.680757,2.2873762,1.9159428
2.393454,2.5549216,2.3570893,2.0049174
2.2715015,2.579496,2.7001278,1.9863377
2.2720926,2.714544,2.4835026,1.9728496
2.2002423,2.7999544,2.2073398,1.80001
2.7577384,2.2043433,2.7997742,2.9929185
2.2131798,2.4453633,2.58143,2.2244556
2.2141917,2.7960665,2.2241254,1.8024508
2.244427,2.6581416,2.2113466,1.9253886
2.208379,2.7999716,2.2020314,1.800003
2.3817954,2.7999206,2.201679,1.8001182
2.3047543,2.483336,2.7723022,2.6556334
2.240783,2.2739837,2.7410786,2.4015822
2.201496,2.2389464,2.7964807,2.6429276
2.6667163,2.7969673,2.2038186,1.8005865
2.286454,2.639986,2.4614828,1.9534328
2.789426,2.2278407,2.779245,2.9969792
2.2273004,2.7529936,2.6676965,2.1768599
2.591618,2.5612464,2.6608458,2.0804818
2.6801367,2.5198903,2.7480366,2.3736508
2.4419622,2.2074478,2.755121,2.969047
2.2000017,2.8,2.2002034,1.8
2.7965982,2.2069583,2.7972054,2.9909923
2.270341,2.3226295,2.6953254,2.7232957
2.391005,2.7594926,2.2403233,1.8075966
2.4467568,2.2177708,2.678584,2.6443796
2.2281773,2.796756,2.5264165,1.8002642
2.2012653,2.7998066,2.2245646,1.8001133
2.213475,2.7996864,2.2056415,1.8000073
2.2018151,2.5525634,2.549383,1.900512
2.624628,2.5677652,2.4881296,2.4311852
2.748937,2.7926443,2.2030816,1.8131433
2.6784196,2.2020664,2.7989528,2.994367
2.2005758,2.7985053,2.2016077,1.8000067
2.2058125,2.7877638,2.2680626,1.8005985
